id,_date,_open,_high,_low,_close,adj_close,volumen
343,2000-05-31,0.228125,0.241667,0.228125,0.23776,0.21808,469536000
344,2000-06-01,0.244792,0.247005,0.238281,0.244401,0.224171,418992000
345,2000-06-02,0.249479,0.277083,0.249479,0.274089,0.251402,592176000
346,2000-06-05,0.273698,0.29375,0.26276,0.27998,0.256805,491904000
347,2000-06-06,0.28099,0.291406,0.264583,0.266016,0.243997,375888000
348,2000-06-07,0.264063,0.266276,0.25026,0.254167,0.233129,332352000
349,2000-06-08,0.260677,0.260938,0.245833,0.25612,0.23492,460704000
350,2000-06-09,0.260938,0.275,0.257031,0.263411,0.241608,467280000
351,2000-06-12,0.264583,0.266797,0.250521,0.25638,0.235159,380016000
352,2000-06-13,0.249219,0.264583,0.247917,0.264453,0.242563,447840000
353,2000-06-14,0.269401,0.270833,0.26071,0.264193,0.242325,275088000
354,2000-06-15,0.263411,0.271094,0.249219,0.271094,0.248655,338592000
355,2000-06-16,0.270117,0.3125,0.270052,0.311979,0.286156,987840000
356,2000-06-19,0.311198,0.356771,0.303385,0.33151,0.30407,1052160000
357,2000-06-20,0.33724,0.341146,0.322917,0.327083,0.300009,610272000
358,2000-06-21,0.322005,0.366667,0.322005,0.360286,0.330464,614880000
359,2000-06-22,0.358724,0.366146,0.33724,0.340625,0.31243,614352000
360,2000-06-23,0.33151,0.335677,0.308333,0.308464,0.282932,607392000
361,2000-06-26,0.314583,0.347656,0.309635,0.345703,0.317088,618288000
362,2000-06-27,0.342708,0.348438,0.28776,0.296875,0.272302,604608000
363,2000-06-28,0.303125,0.314583,0.277083,0.285417,0.261792,586608000
364,2000-06-29,0.280469,0.280469,0.239583,0.244271,0.224052,1184880000
